,county_name,precinct,Ward2,Precinct,candidate,candidate_normalized,party,mode,votes,religious_voting_place,party2
144,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 6,2,6,Darrell Castle,castle,us taxpayers,total,3,0,other
145,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 6,2,6,Hillary Clinton,clinton,democratic,total,1114,0,democratic
146,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 6,2,6,Gary Johnson,johnson,libertarian,total,35,0,other
147,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 6,2,6,Jill Stein,stein,green,total,14,0,other
148,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 6,2,6,Donald Trump,trump,republican,total,213,0,republican
149,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 6,2,6,Emidio Soltysik,soltysik,natural law party,total,1,0,other
150,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 2,2,2,Darrell Castle,castle,us taxpayers,total,2,0,other
151,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 2,2,2,Hillary Clinton,clinton,democratic,total,1017,0,democratic
152,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 2,2,2,Gary Johnson,johnson,libertarian,total,47,0,other
153,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 2,2,2,Jill Stein,stein,green,total,11,0,other
154,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 2,2,2,Donald Trump,trump,republican,total,146,0,republican
155,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 2,2,2,Emidio Soltysik,soltysik,natural law party,total,0,0,other
156,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 3,4,3,Darrell Castle,castle,us taxpayers,total,1,0,other
157,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 3,4,3,Hillary Clinton,clinton,democratic,total,1155,0,democratic
158,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 3,4,3,Gary Johnson,johnson,libertarian,total,34,0,other
159,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 3,4,3,Jill Stein,stein,green,total,17,0,other
160,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 3,4,3,Donald Trump,trump,republican,total,94,0,republican
161,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 3,4,3,Emidio Soltysik,soltysik,natural law party,total,0,0,other
162,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 7,3,7,Darrell Castle,castle,us taxpayers,total,4,0,other
163,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 7,3,7,Hillary Clinton,clinton,democratic,total,1037,0,democratic
164,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 7,3,7,Gary Johnson,johnson,libertarian,total,27,0,other
165,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 7,3,7,Jill Stein,stein,green,total,20,0,other
166,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 7,3,7,Donald Trump,trump,republican,total,221,0,republican
167,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 7,3,7,Emidio Soltysik,soltysik,natural law party,total,0,0,other
168,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 3,3,3,Darrell Castle,castle,us taxpayers,total,1,0,other
169,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 3,3,3,Hillary Clinton,clinton,democratic,total,1663,0,democratic
170,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 3,3,3,Gary Johnson,johnson,libertarian,total,35,0,other
171,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 3,3,3,Jill Stein,stein,green,total,14,0,other
172,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 3,3,3,Donald Trump,trump,republican,total,139,0,republican
173,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 3,3,3,Emidio Soltysik,soltysik,natural law party,total,0,0,other
174,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 8,2,8,Darrell Castle,castle,us taxpayers,total,1,1,other
175,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 8,2,8,Hillary Clinton,clinton,democratic,total,1004,1,democratic
176,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 8,2,8,Gary Johnson,johnson,libertarian,total,29,1,other
177,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 8,2,8,Jill Stein,stein,green,total,14,1,other
178,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 8,2,8,Donald Trump,trump,republican,total,197,1,republican
179,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 8,2,8,Emidio Soltysik,soltysik,natural law party,total,0,1,other
180,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 8,4,8,Darrell Castle,castle,us taxpayers,total,2,0,other
181,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 8,4,8,Hillary Clinton,clinton,democratic,total,1033,0,democratic
182,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 8,4,8,Gary Johnson,johnson,libertarian,total,41,0,other
183,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 8,4,8,Jill Stein,stein,green,total,17,0,other
184,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 8,4,8,Donald Trump,trump,republican,total,160,0,republican
185,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 8,4,8,Emidio Soltysik,soltysik,natural law party,total,0,0,other
186,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 4,2,4,Darrell Castle,castle,us taxpayers,total,0,0,other
187,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 4,2,4,Hillary Clinton,clinton,democratic,total,1024,0,democratic
188,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 4,2,4,Gary Johnson,johnson,libertarian,total,23,0,other
189,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 4,2,4,Jill Stein,stein,green,total,5,0,other
190,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 4,2,4,Donald Trump,trump,republican,total,174,0,republican
191,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 4,2,4,Emidio Soltysik,soltysik,natural law party,total,0,0,other
192,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 9,5,9,Darrell Castle,castle,us taxpayers,total,0,0,other
193,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 9,5,9,Hillary Clinton,clinton,democratic,total,1291,0,democratic
194,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 9,5,9,Gary Johnson,johnson,libertarian,total,25,0,other
195,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 9,5,9,Jill Stein,stein,green,total,25,0,other
196,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 9,5,9,Donald Trump,trump,republican,total,172,0,republican
197,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 9,5,9,Emidio Soltysik,soltysik,natural law party,total,1,0,other
198,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 1,1,1,Darrell Castle,castle,us taxpayers,total,4,0,other
199,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 1,1,1,Hillary Clinton,clinton,democratic,total,1250,0,democratic
200,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 1,1,1,Gary Johnson,johnson,libertarian,total,35,0,other
201,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 1,1,1,Jill Stein,stein,green,total,16,0,other
202,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 1,1,1,Donald Trump,trump,republican,total,137,0,republican
203,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 1,1,1,Emidio Soltysik,soltysik,natural law party,total,0,0,other
204,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 8,5,8,Darrell Castle,castle,us taxpayers,total,2,0,other
205,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 8,5,8,Hillary Clinton,clinton,democratic,total,691,0,democratic
206,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 8,5,8,Gary Johnson,johnson,libertarian,total,10,0,other
207,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 8,5,8,Jill Stein,stein,green,total,9,0,other
208,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 8,5,8,Donald Trump,trump,republican,total,128,0,republican
209,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 8,5,8,Emidio Soltysik,soltysik,natural law party,total,1,0,other
210,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 4,3,4,Darrell Castle,castle,us taxpayers,total,2,0,other
211,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 4,3,4,Hillary Clinton,clinton,democratic,total,1186,0,democratic
212,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 4,3,4,Gary Johnson,johnson,libertarian,total,48,0,other
213,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 4,3,4,Jill Stein,stein,green,total,23,0,other
214,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 4,3,4,Donald Trump,trump,republican,total,168,0,republican
